21.61,86.8
24.33,98.84
22.88,88.39
22.57,96.94
21.38,93.86
24.8,93.51
23.88,87.7
20.57,91.03
22.37,98.02
21.53,90.08
24.3,99.55
21.06,85.67
22.92,95.75
23.66,98.95
24.39,88.25
22.96,86.46
22,89.77
23.52,86.11
23.45,94.2
21.21,98.32
24.75,88.39
23.45,96.14
21.34,91.12
20.99,92.07
23.13,90.82
20.44,90.95
23.73,85.42
23.47,99.78
20.48,93.25
21.86,88.83
23.54,88.83
24.26,89.9
21.6,89.7
20.25,95.53
21.72,91.32
23.79,95.55
21.3,88.43
24.69,99.72
21.9,99.62
24.49,86.9
23.66,95.63
24.96,99.06
21.27,96.15
24.7,94.66
20.25,90.55
20.65,93.56
21.68,93.45
21.75,97.36
21.91,99.06
21.83,97.84
20.04,94.22
22.53,93.52
23.15,87.69
24.08,95.81
21.98,86.23
23.72,92.34
22.32,85.28
24.24,96.3
24.21,93.14
21.54,94.64
20.04,87.03
21.26,90.04
23.96,97.72
24.25,89.75
24.03,87.31
23.1,96.63
21.52,90.67
24.92,90.06
23.96,97.27
23.19,97.04
21.65,96.76
20.72,88.37
21.59,88.36
20.43,87.26
22.71,93.23
20.75,86.6
20.53,96.26
22.54,89.34
20.83,87.31
24.8,97.17
20.03,99.19
20.41,87.74
21.92,90.49
21.87,95.91
22.8,95.64
23.06,85.4
24.58,89.32
20.11,93.8
22.65,88.76
23.98,98.73
20.49,91.33
22.99,85.67
23.95,94.37
24.97,85.7
22.15,99.48
21.6,89.65
22.56,93.11
24.64,98.65
23.15,91.12
23.48,90.13
23.95,96.11
20.82,91.71
20.94,94.12
20.34,91.38
21.9,90.05
21.23,98.41
23.83,97.83
22.15,91.1
20.48,99.33
20.73,89.62
22.45,99.42
21.47,92.72
21.21,87.68
21.54,91.45
21.48,88.69
20.41,89
24.85,85.33
24.82,99.7
24.24,91.69
22.09,94.75
23.71,85.02
23.49,98.51
22.78,99.79
21.42,97.94
23.05,95.64
23.3,97.88
21.45,95.16
24.94,98.13
21.49,91.33
22.56,97.11
23.92,88.05
23.42,89.23
23.67,88
23.81,87.83
22.51,97.25
24.14,97.89
22.87,98.64
24.71,92.13
21.04,89.04
23.38,97.2
22.74,99.15
20.26,89.29
21.71,95.74
21.7,95.52
20.51,93.37
23.46,95.61
21.44,97.28
24.65,96.1
20.68,96.5
21.15,87.14
24.42,88.58
22.8,94.42
24.23,86.81
20.4,94.58
21.6,94.87
23.39,93.96
22.57,87.65
23.15,95.41
21.27,94.97
21.28,97.22
20.68,93.56
21.24,95.28
22.13,86.09
23.44,98.03
21.93,97.29
22.79,90.74
24.18,91.1
22.58,93.64
22.92,93.58
22.04,95.96
24.19,95.04
20.4,94.98
22.28,85.89
24.88,89.23
20.36,85.61
21.43,98.51
23.87,86.14
23.19,96.3
20.32,89.86
21.9,96.85
20.48,97.11
20.56,98.56
20.27,97.42
20.01,96.05
23.9,95.81
23.07,88.5
23.83,97.78
22.28,89.41
23.62,89.34
24.08,91.88
21.06,89.03
23.54,98.29
21.56,89.11
21.74,93.02
23.08,95.6
20.46,94.64
23.01,98.87
23.58,86.8
24.16,98.93
22.38,97.24
23.64,90.73
22.12,89.76
21.5,93.64
20.63,85.32
22.13,92.36
24.11,99.83
24.42,87.58
23.6,93.83
21.54,85.98
20.42,96.58
20.4,89.83
22.15,98.89
21.97,97.94
23.03,94.67
20.31,85.21
20.43,96.6
22.92,97.14
20.53,98.94
23.1,96.74
22.26,97.1
20.37,97.24
20.3,87
23.05,92.52
24.39,97.04
22.78,99.36
22.83,97.27
20.28,91.84
22.32,99.87
21.76,88.39
21.07,94.56
24.33,97.36
22.66,86.09
20.91,94.61
22.69,88.74
21,93.35
24.21,87.75
24.74,97.14
24.46,85.82
21.93,86.21
20.93,93.64
20.34,98.37
23.86,96.22
23.2,94.38
22.83,93.27
24.06,86.7
24.59,96.89
21.54,94.81
20.28,91.66
24.97,99.96
22,96.71
22.45,89.79
21.71,89.39
24.2,93.3
21.06,99.07
24.34,98.32
20.63,98.16
22.32,89.35
23.7,89.08
23.83,88.64
23.13,96.14
24.88,96.59
21.54,85.62
21.25,92.52
21.9,86.25
24.05,97.36
21.8,91.88
21.4,91.46
23.09,85.18
24.96,91.12
23.65,95.16
23.29,86.11
20.12,90.66
21.39,88.94
24.58,99.1
20.74,98.32
24.22,88.51
22.73,95.14
21.12,91.5
20.52,91.97
24.9,85.53
20.2,91.11
21.36,92.06
23.15,90.69
23.19,93.18
20.99,95.94
22.14,87.39
21.44,87.73
23.88,90.75
22.4,92.37
21.45,99.65
22.7,90.94
22.64,90.43
22.37,92.62
21.79,89.43
23.05,85.54
20.3,95.15
24.45,95.54
24.12,97.41
20.75,90.47
23.42,88.45
23.4,97.18
22.51,97.58
20.77,91.97
24.33,97.53
21.39,85.81
23.96,85.63
22.08,95.79
23.52,94.76
22.63,96.82
20.99,93.52
22.14,94.76
21.15,90.46
21.79,91.99
23.44,88.72
20.27,99
23.43,86.13
23.18,91.92
21.88,96.24
21.47,96.07
24.54,90.4
21.25,87.24
23.65,85.4
21.24,87.5
22.59,85.36
24.93,96.44
24.48,97.64
24.74,92.79
20.65,93.42
22.54,89.45
24.51,91.22
21.31,91.15
24.39,97.2
23.09,93.65
21.56,86.55
20.59,91.47
22.62,85.91
20.69,91.48
21.56,96.21
21.94,88.6
22.55,93.43
23.45,91.71
20.7,94.46
20.01,87.6
22.41,88.93
21.09,94.6
24.54,94.47
22.46,96.67
20.33,96.18
21.18,86.74
23.32,94.87
22.83,89.18
22.21,99.13
24.94,93.88
23.01,97.57
24.98,89.65
23.48,94.83
23.36,93.24
24.65,92.97
20.91,96.96
23.4,90.03
21.46,91.73
24.82,85.84
20.78,87.59
22.86,96.88
24.88,90.4
23.77,98.07
23.53,91.04
21.46,96.75
20.6,91.85
20.66,87.36
20.35,92.28
23.87,90.15
